STATION,STATION_NAME,DATE,HPCP
COOP:221852,COLLINS MS US,20010608 21:00,0.10
COOP:221852,COLLINS MS US,20010609 03:00,0.10
COOP:221852,COLLINS MS US,20010609 04:00,0.10
COOP:221852,COLLINS MS US,20010609 14:00,0.10
COOP:221852,COLLINS MS US,20010610 14:00,0.60
COOP:221852,COLLINS MS US,20010610 15:00,0.10
COOP:221852,COLLINS MS US,20010611 07:00,0.10
COOP:221852,COLLINS MS US,20010611 08:00,0.10
COOP:221852,COLLINS MS US,20010611 09:00,0.20
COOP:221852,COLLINS MS US,20010612 11:00,0.10
COOP:221852,COLLINS MS US,20010619 18:00,0.00
COOP:221852,COLLINS MS US,20010622 02:00,0.10
COOP:221852,COLLINS MS US,20010622 03:00,0.10
COOP:221852,COLLINS MS US,20010627 03:00,0.10
COOP:221852,COLLINS MS US,20010627 16:00,0.70
COOP:221852,COLLINS MS US,20010627 17:00,0.10
COOP:221852,COLLINS MS US,20010627 21:00,0.20
COOP:221852,COLLINS MS US,20010628 17:00,0.20
COOP:221852,COLLINS MS US,20010701 01:00,0.00
COOP:221852,COLLINS MS US,20010702 18:00,0.10
COOP:221852,COLLINS MS US,20010702 19:00,0.40
COOP:221852,COLLINS MS US,20010703 14:00,0.20
COOP:221852,COLLINS MS US,20010704 17:00,0.10
COOP:221852,COLLINS MS US,20010706 16:00,0.10
COOP:221852,COLLINS MS US,20010708 19:00,999.99
COOP:221852,COLLINS MS US,20010708 20:00,999.99
COOP:221852,COLLINS MS US,20010711 07:00,999.99
COOP:221852,COLLINS MS US,20010801 00:00,999.99
COOP:221852,COLLINS MS US,20010801 01:00,0.00
COOP:221852,COLLINS MS US,20010805 02:00,0.10
COOP:221852,COLLINS MS US,20010807 04:00,0.10
COOP:221852,COLLINS MS US,20010808 23:00,0.10
COOP:221852,COLLINS MS US,20010809 13:00,0.60
COOP:221852,COLLINS MS US,20010809 19:00,0.30
COOP:221852,COLLINS MS US,20010809 23:00,0.10
COOP:221852,COLLINS MS US,20010811 14:00,0.30
COOP:221852,COLLINS MS US,20010811 15:00,0.50
COOP:221852,COLLINS MS US,20010811 16:00,0.30
COOP:221852,COLLINS MS US,20010811 21:00,0.30
COOP:221852,COLLINS MS US,20010812 12:00,0.30
COOP:221852,COLLINS MS US,20010812 13:00,0.40
COOP:221852,COLLINS MS US,20010812 14:00,0.10
COOP:221852,COLLINS MS US,20010812 15:00,0.20
COOP:221852,COLLINS MS US,20010812 16:00,0.10
COOP:221852,COLLINS MS US,20010817 22:00,0.40
COOP:221852,COLLINS MS US,20010819 16:00,0.50
COOP:221852,COLLINS MS US,20010819 17:00,0.20
COOP:221852,COLLINS MS US,20010827 20:00,0.10
COOP:221852,COLLINS MS US,20010828 16:00,0.10
